timebase,lv_dab.i_out,lv_dab.i_in,lv_dab.v_out,mv_dab.v_out,mv_dab.i_in
0.0048,0,41.8628,62.1955,230.286,98.182
0.00484,0,42.8887,62.7113,230.03,99.1766
0.00488,0,43.8962,63.0248,229.837,100.177
0.00492,0,44.8483,63.2174,229.705,101.181
0.00496,0,45.7009,63.7132,229.632,102.185
0.005,0,46.4936,63.6582,229.618,103.187
0.00504,0,47.1991,64.0096,229.662,104.185
0.00508,0,47.8514,64.0989,229.764,105.174
0.00512,0,48.453,64.2987,229.92,106.154
0.00516,0,49.0091,64.3932,230.131,107.122
0.0052,0,49.5083,64.4895,230.392,108.074
0.00524,0,49.9417,64.3066,230.703,109.009
0.00528,0,50.2769,64.5447,231.06,109.924
0.00532,0,50.5571,64.4805,231.461,110.817
0.00536,0,50.7893,64.3835,231.905,111.684
0.0054,0,50.9584,64.5009,232.389,112.525
0.00544,0,51.0783,64.2833,232.911,113.336
0.00548,0,51.1252,64.0625,233.466,114.116
0.00552,0,51.0822,64.0962,234.053,114.864
0.00556,0,50.9831,63.8415,234.669,115.576
0.0056,0,50.8288,63.6164,235.312,116.25
0.00564,0,50.6124,63.4818,235.978,116.885
0.00568,0,50.3416,63.1049,236.666,117.48
0.00572,0,50.0013,62.7572,237.371,118.032
0.00576,0,49.5878,62.4538,238.092,118.541
0.0058,0,49.1151,62.1826,238.826,119.004
0.00584,0,48.6017,61.7057,239.57,119.422
0.00588,0,48.0372,61.0855,240.321,119.792
0.00592,0,47.3984,60.8483,241.077,120.114
0.00596,0,46.7161,60.3193,241.835,120.387
0.006,0,45.9966,59.6534,242.594,120.611
0.00604,0,45.2234,59.4539,243.349,120.785
0.00608,0,44.4264,58.5987,244.099,120.909
0.00612,0,43.5786,58.1424,244.842,120.982
0.00616,0,42.687,57.4699,245.574,121.006
0.0062,0,41.7552,56.8701,246.294,120.98
0.00624,0,40.793,56.3726,247,120.905
0.00628,0,39.8164,55.7645,247.69,120.782
0.00632,0,38.8237,55.0815,248.362,120.611
0.00636,0,37.8021,54.2754,249.013,120.393
0.0064,0,36.7381,53.6412,249.643,120.13
0.00644,0,35.6468,52.936,250.248,119.823
0.00648,0,34.5442,51.975,250.83,119.475
0.00652,0,33.4208,51.2024,251.386,119.085
0.00656,0,32.282,50.4708,251.914,118.657
0.0066,0,31.1418,49.6055,252.415,118.192
0.00664,0,29.9999,48.8388,252.886,117.693
0.00668,0,28.8586,47.9601,253.327,117.16
