"Time","Am1:Measured current","Am2:Measured current","Vm1:Measured voltage"
0.62892000000000003,0,-103.9627739345763,-1011.6682075696841
0.62894000000000005,0,-103.9627739345763,-1011.6682075696841
0.62896000000000007,0,-103.9627739345763,-1011.6682075696841
0.62898000000000009,0,-103.9627739345763,-1011.6682075696841
0.629,0,-114.25023127750735,-1011.6682075696841
0.62902000000000002,0,-114.25023127750735,-1032.6134707039491
0.62904000000000004,0,-114.25023127750735,-1032.6134707039491
0.62906000000000006,0,-114.25023127750735,-1032.6134707039491
0.62908000000000008,0,-114.25023127750735,-1032.6134707039491
0.6291000000000001,0,-114.25023127750735,-1032.6134707039491
0.62912000000000001,0,-114.25023127750735,-1032.6134707039491
0.62914000000000003,0,-114.25023127750735,-1032.6134707039491
0.62916000000000005,0,-114.25023127750735,-1032.6134707039491
0.62918000000000007,0,-114.25023127750735,-1032.6134707039491
0.62920000000000009,0,-108.17030514933352,-1032.6134707039491
0.62922,0,-108.17030514933352,-1020.2347411164093
0.62924000000000002,0,-108.17030514933352,-1020.2347411164093
0.62926000000000004,0,-108.17030514933352,-1020.2347411164093
0.62928000000000006,0,-108.17030514933352,-1020.2347411164093
0.62930000000000008,0,-108.17030514933352,-1020.2347411164093
0.6293200000000001,0,-108.17030514933352,-1020.2347411164093
0.62934000000000001,0,-108.17030514933352,-1020.2347411164093
0.62936000000000003,0,-108.17030514933352,-1020.2347411164093
0.62938000000000005,0,-108.17030514933352,-1020.2347411164093
0.62940000000000007,0,-108.89920765001432,-1020.2347411164093
0.62942000000000009,0,-108.89920765001432,-1021.7187866066658
0.62944,0,-108.89920765001432,-1021.7187866066658
0.62946000000000002,0,-108.89920765001432,-1021.7187866066658
0.62948000000000004,0,-108.89920765001432,-1021.7187866066658
0.62950000000000006,0,-108.89920765001432,-1021.7187866066658
0.62952000000000008,0,-108.89920765001432,-1021.7187866066658
0.6295400000000001,0,-108.89920765001432,-1021.7187866066658
0.62956000000000001,0,-108.89920765001432,-1021.7187866066658
0.62958000000000003,0,-108.89920765001432,-1021.7187866066658
0.62960000000000005,0,-89.799010061711641,-1021.7187866066658
0.62962000000000007,0,-89.799010061711641,-982.83078434648144
0.62964000000000009,0,-89.799010061711641,-982.83078434648144
0.62966,0,-89.799010061711641,-982.83078434648144
0.62968000000000002,0,-89.799010061711641,-982.83078434648144
0.62970000000000004,0,-89.799010061711641,-982.83078434648144
0.62972000000000006,0,-89.799010061711641,-982.83078434648144
0.62974000000000008,0,-89.799010061711641,-982.83078434648144
0.6297600000000001,0,-89.799010061711641,-982.83078434648144
0.62978000000000001,0,-89.799010061711641,-982.83078434648144
0.62980000000000003,0,-98.180619056915447,-982.83078434648144
