time,i_out
0,81.285429607799
4e-05,81.285429607799
8e-05,81.285429607799
0.00012,81.285429607799
0.00016,81.285429607799
0.0002,81.285429607799
0.00024,81.285429607799
0.00028,81.285429607799
0.00032,81.285429607799
0.00036,81.285429607799
0.0004,79.9901078246137
0.00044,79.9901078246137
0.00048,79.9901078246137
0.00052,79.9901078246137
0.00056,79.9901078246137
0.0006,79.9901078246137
0.00064,79.9901078246137
0.00068,79.9901078246137
0.00072,79.9901078246137
0.00076,79.9901078246137
0.0008,78.2391085379631
0.00084,78.2391085379631
0.00088,78.2391085379631
0.00092,78.2391085379631
0.00096,78.2391085379631
0.001,78.2391085379631
0.00104,78.2391085379631
0.00108,78.2391085379631
0.00112,78.2391085379631
0.00116,78.2391085379631
0.0012,80.3854432675102
0.00124,80.3854432675102
0.00128,80.3854432675102
0.00132,80.3854432675102
0.00136,80.3854432675102
0.0014,80.3854432675102
0.00144,80.3854432675102
0.00148,80.3854432675102
0.00152,80.3854432675102
0.00156,80.3854432675102
0.0016,81.4321860996549
0.00164,81.4321860996549
0.00168,81.4321860996549
0.00172,81.4321860996549
0.00176,81.4321860996549
0.0018,81.4321860996549
0.00184,81.4321860996549
0.00188,81.4321860996549
0.00192,81.4321860996549
0.00196,81.4321860996549
0.002,73.6992932987941
0.00204,73.6992932987941
0.00208,73.6992932987941
0.00212,73.6992932987941
0.00216,73.6992932987941
0.0022,73.6992932987941
0.00224,73.6992932987941
0.00228,73.6992932987941
0.00232,73.6992932987941
0.00236,73.6992932987941
0.0024,76.1777479502084
0.00244,76.1777479502084
0.00248,76.1777479502084
0.00252,76.1777479502084
0.00256,76.1777479502084
0.0026,76.1777479502084
0.00264,76.1777479502084
0.00268,76.1777479502084
0.00272,76.1777479502084
0.00276,76.1777479502084
0.0028,80.1091614949524
0.00284,80.1091614949524
0.00288,80.1091614949524
0.00292,80.1091614949524
0.00296,80.1091614949524
0.003,80.1091614949524
0.00304,80.1091614949524
0.00308,80.1091614949524
0.00312,80.1091614949524
0.00316,80.1091614949524
0.0032,78.2439799361318
0.00324,78.2439799361318
0.00328,78.2439799361318
0.00332,78.2439799361318
0.00336,78.2439799361318
0.0034,78.2439799361318
0.00344,78.2439799361318
0.00348,78.2439799361318
0.00352,78.2439799361318
0.00356,78.2439799361318
0.0036,83.2196092551898
0.00364,83.2196092551898
0.00368,83.2196092551898
0.00372,83.2196092551898
0.00376,83.2196092551898
0.0038,83.2196092551898
0.00384,83.2196092551898
0.00388,83.2196092551898
0.00392,83.2196092551898
0.00396,83.2196092551898
0.004,81.2564696174809
0.00404,81.2564696174809
0.00408,81.2564696174809
0.00412,81.2564696174809
0.00416,81.2564696174809
0.0042,81.2564696174809
0.00424,81.2564696174809
0.00428,81.2564696174809
0.00432,81.2564696174809
0.00436,81.2564696174809
0.0044,75.450413370628
0.00444,75.450413370628
0.00448,75.450413370628
0.00452,75.450413370628
0.00456,75.450413370628
0.0046,75.450413370628
0.00464,75.450413370628
0.00468,75.450413370628
0.00472,75.450413370628
0.00476,75.450413370628
0.0048,86.729514996931
0.00484,86.729514996931
0.00488,86.729514996931
0.00492,86.729514996931
0.00496,86.729514996931
0.005,86.729514996931
0.00504,86.729514996931
0.00508,86.729514996931
0.00512,86.729514996931
0.00516,86.729514996931
0.0052,76.5421283038598
0.00524,76.5421283038598
0.00528,76.5421283038598
0.00532,76.5421283038598
0.00536,76.5421283038598
0.0054,76.5421283038598
0.00544,76.5421283038598
0.00548,76.5421283038598
0.00552,76.5421283038598
0.00556,76.5421283038598
0.0056,79.3101211690093
0.00564,79.3101211690093
0.00568,79.3101211690093
0.00572,79.3101211690093
0.00576,79.3101211690093
0.0058,79.3101211690093
0.00584,79.3101211690093
0.00588,79.3101211690093
0.00592,79.3101211690093
0.00596,79.3101211690093
0.006,76.8508407150355
0.00604,76.8508407150355
0.00608,76.8508407150355
0.00612,76.8508407150355
0.00616,76.8508407150355
0.0062,76.8508407150355
0.00624,76.8508407150355
0.00628,76.8508407150355
0.00632,76.8508407150355
0.00636,76.8508407150355
0.0064,71.6921939595196
0.00644,71.6921939595196
0.00648,71.6921939595196
0.00652,71.6921939595196
0.00656,71.6921939595196
0.0066,71.6921939595196
0.00664,71.6921939595196
0.00668,71.6921939595196
0.00672,71.6921939595196
0.00676,71.6921939595196
0.0068,72.6292645380691
0.00684,72.6292645380691
0.00688,72.6292645380691
0.00692,72.6292645380691
0.00696,72.6292645380691
0.007,72.6292645380691
0.00704,72.6292645380691
0.00708,72.6292645380691
0.00712,72.6292645380691
0.00716,72.6292645380691
0.0072,79.7972334758939
0.00724,79.7972334758939
0.00728,79.7972334758939
0.00732,79.7972334758939
0.00736,79.7972334758939
0.0074,79.7972334758939
0.00744,79.7972334758939
0.00748,79.7972334758939
0.00752,79.7972334758939
0.00756,79.7972334758939
0.0076,74.796742680843
0.00764,74.796742680843
0.00768,74.796742680843
0.00772,74.796742680843
0.00776,74.796742680843
0.0078,74.796742680843
0.00784,74.796742680843
0.00788,74.796742680843
0.00792,74.796742680843
0.00796,74.796742680843
0.008,77.6842902641727
0.00804,77.6842902641727
0.00808,77.6842902641727
0.00812,77.6842902641727
0.00816,77.6842902641727
0.0082,77.6842902641727
0.00824,77.6842902641727
0.00828,77.6842902641727
0.00832,77.6842902641727
0.00836,77.6842902641727
0.0084,77.8770257239121
0.00844,77.8770257239121
0.00848,77.8770257239121
0.00852,77.8770257239121
0.00856,77.8770257239121
0.0086,77.8770257239121
0.00864,77.8770257239121
0.00868,77.8770257239121
